Category,Control, priority ,Mod
CloudWatch,Ensure a log metric filter and alarm exist for AWS Management Console authentication failures, p3 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for AWS Management Console sign-in without MFA, p1 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL), p3 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for changes to network gateways, p3 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for CloudTrail configuration changes, p3 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer managed keys, p3 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for IAM policy changes, p3 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for route table changes, p3 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for S3 bucket policy changes, p3 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for security group changes, p2 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for unauthorized API calls, p1 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for usage of 'root' account, p3 ,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for VPC changes, p3 ,Compliance
CloudWatch,Ensure AWS Organizations changes are monitored, p3 ,Compliance
CloudWatch,Log group encryption at rest should be enabled, p1 ,Compliance
CloudWatch,Log group retention period should be at least 365 days, p3 ,Compliance
CodeBuild,CodeBuild GitHub or Bitbucket source repository URLs should use OAuth, p3 ,Compliance
CodeBuild,CodeBuild project artifact encryption should be enabled, p1 ,Compliance
CodeBuild,CodeBuild project environments should not have privileged mode enabled, p2 ,Compliance
CodeBuild,CodeBuild project plaintext environment variables should not contain sensitive AWS values, p1 ,Compliance
CodeBuild,CodeBuild project S3 logs should be encrypted, p1 ,Compliance
CodeBuild,CodeBuild projects should have logging enabled, p1 ,Compliance
CodeBuild,CodeBuild projects should not be unused for 90 days or greater, p3 ,Compliance
CodeBuild,CodeBuild projects should not use an user controlled buildspec, p3 ,Compliance
CodeDeploy,Codedeploy deployment groups lambda allatonce traffic shift should be disabled, p3 ,Compliance
Config,AWS Config should be enabled, p1 ,Compliance
Config,Config configuration recorder should not fail to deliver logs, p3 ,Compliance
DAX,Directory Service, p3 ,Compliance
DAX,Directory Service certificates should not expire within 90 days, p1 ,Compliance
DAX,Directory Service directories manual snapshots limit should not be less than 2, p3 ,Compliance
DAX,Directory Service directories should have SNS notification enabled, p2 ,Compliance
DAX,DynamoDB Accelerator (DAX) clusters should be encrypted at rest, p1 ,Compliance
DLM,DLM EBS snapshot lifecycle policy should be enabled, p2 ,Compliance
DMS,DMS endpoints should use SSL, p1 ,Compliance
DMS,DMS replication instances should have automatic minor version upgrade enabled, p2 ,Compliance
DMS,DMS replication instances should not be publicly accessible, p1 ,Compliance
DMS,DMS replication tasks for the source database should have logging enabled, p1 ,Compliance
DMS,DMS replication tasks for the target database should have logging enabled, p1 ,Compliance
DMS,Ensure that all the expired DMS certificates are removed, p3 ,Compliance
DocumentDB,Amazon DocumentDB manual cluster snapshots should not be public, p3 ,Compliance
DocumentDB,AWS DocumentDB clusters should be encrypted at rest, p1 ,Compliance
DocumentDB,Amazon DocumentDB manual cluster snapshots should not be public, p1 ,Compliance
DocumentDB,DocumentDB clusters should have deletion protection enabled, p2 ,Compliance
DocumentDB,DocumentDB instance logging should be enabled, p1 ,Compliance
DocumentDB,DocumentDB instance should be encrypted at rest, p3 ,Compliance
DRS,DRS jobs should be enabled, p2 ,Compliance
DynamoDB,DynamoDB table auto scaling should be enabled, p2 ,Compliance
DynamoDB,DynamoDB table point-in-time recovery should be enabled, p1 ,Compliance
DynamoDB,DynamoDB table should be encrypted with AWS KMS, p1 ,Compliance
DynamoDB,DynamoDB table should be protected by backup plan, p1 ,Compliance
DynamoDB,DynamoDB table should have deletion protection enabled, p2 ,Compliance
DynamoDB,DynamoDB table should have encryption enabled, p2 ,Compliance
DynamoDB,DynamoDB tables should be in a backup plan, p3 ,Compliance
EBS,Attached EBS volumes should have delete on termination enabled, p2 ,Compliance
EBS,Attached EBS volumes should have encryption enabled, p1 ,Compliance
EBS,EBS snapshots should be encrypted, p1 ,Compliance
EBS,EBS snapshots should not be publicly restorable, p1 ,Compliance
EBS,EBS volume encryption at rest should be enabled, p2 ,Compliance
EBS,EBS volume snapshots should exist, p3 ,Compliance
EBS,EBS volumes should be attached to EC2 instances, p3 ,Compliance
EBS,EBS volumes should be in a backup plan, p3 ,Compliance
EBS,EBS volumes should be protected by a backup plan, p3 ,Compliance
EC2,AWS EC2 instances should have termination protection enabled, p1 ,Compliance
EC2,AWS EC2 launch templates should not assign public IPs to network interfaces, p3 ,Compliance
EC2,EBS default encryption should be enabled, p2 ,Compliance
EC2,EC2 AMIs should restrict public access, p3 ,Compliance
EC2,EC2 Client VPN endpoints should have client connection logging enabled, p2 ,Compliance
EC2,EC2 instance detailed monitoring should be enabled, p2 ,Compliance
EC2,EC2 instance IAM role should not allow cloud log tampering access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow database management write access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow data destruction access, p1 ,Compliance
EC2,EC2 instance IAM role should not allow defense evasion impact of AWS security services access, p2 ,Compliance
EC2,EC2 instance IAM role should not allow destruction KMS access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow destruction RDS access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow elastic IP hijacking access., p3 ,Compliance
EC2,EC2 instance IAM role should not allow management level access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow new group creation with attached policy access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow new role creation with attached policy access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow new user creation with attached policy access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow oraganization write access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow privilege escalation risk access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow security group write access, p2 ,Compliance
EC2,EC2 instance IAM role should not allow to alter critical s3 permissions configuration, p3 ,Compliance
EC2,EC2 instance IAM role should not allow write access to resource based policies, p3 ,Compliance
EC2,EC2 instance IAM role should not allow write level access, p3 ,Compliance
EC2,EC2 instance IAM role should not allow write permission on critical s3 configuration, p3 ,Compliance
EC2,EC2 instance IAM role should not be attached with credentials exposure access, p3 ,Compliance
EC2,EC2 instance IAM should not allow pass role and lambda invoke function access., p3 ,Compliance
EC2,EC2 instances high level findings should not be there in inspector scans, p3 ,Compliance
EC2,EC2 instance should have EBS optimization enabled, p2 ,Compliance
EC2,EC2 instances should be in a VPC, p3 ,Compliance
EC2,EC2 instances should be protected by backup plan, p3 ,Compliance
EC2,EC2 instances should have IAM profile attached, p3 ,Compliance
EC2,EC2 instances should not be attached to 'launch wizard' security groups, p2 ,Compliance
EC2,EC2 instances should not have a public IP address, p1 ,Compliance
EC2,EC2 instances should not use key pairs in running state, p3 ,Compliance
EC2,EC2 instances should not use multiple ENIs, p3 ,Compliance
EC2,EC2 instances should use IMDSv2, p1 ,Compliance
EC2,EC2 instances user data should not have secrets, p3 ,Compliance
EC2,EC2 stopped instances should be removed in 30 days, p3 ,Compliance
EC2,EC2 transit gateways should have auto accept shared attachments disabled, p3 ,Compliance
EC2,Ensure EBS volumes attached to an EC2 instance is marked for deletion upon instance termination, p1 ,Compliance
EC2,Ensure Images (AMI) are not older than 90 days, p3 ,Compliance
EC2,Ensure Images (AMI's) are encrypted, p3 ,Compliance
EC2,Ensure instances stopped for over 90 days are removed, p3 ,Compliance
EC2,Ensure no AWS EC2 Instances are older than 180 days, p3 ,Compliance
EC2,Ensure unused ENIs are removed, p3 ,Compliance
EC2,Paravirtual EC2 instance types should not be used, p3 ,Compliance
EC2,Public EC2 instances should have IAM profile attached, p3 ,Compliance
ECR,ECR private repositories should have tag immutability configured, p1 ,Compliance
ECR,ECR repositories should have image scan on push enabled, p1 ,Compliance
ECR,ECR repositories should have lifecycle policies configured, p1 ,Compliance
ECR,ECR repositories should prohibit public access, p1 ,Compliance
ECS,At least one instance should be registered with ECS cluster, p3 ,Compliance
ECS,AWS ECS services should not have public IP addresses assigned to them automatically, p3 ,Compliance
ECS,ECS cluster container instances should have connected agent, p3 ,Compliance
ECS,ECS cluster instances should be in a VPC, p3 ,Compliance
ECS,ECS clusters encryption at rest should be enabled, p2 ,Compliance
ECS,ECS cluster should be configured with active services, p3 ,Compliance
ECS,ECS clusters should have container insights enabled, p2 ,Compliance
ECS,ECS containers should be limited to read-only access to root filesystems, p1 ,Compliance
ECS,ECS containers should run as non-privileged, p1 ,Compliance
ECS,ECS fargate services should run on the latest fargate platform version, p1 ,Compliance
ECS,ECS services should be attached to a load balancer, p3 ,Compliance
ECS,ECS task definition container definitions should be checked for host mode, p3 ,Compliance
ECS,ECS task definition containers should not have secrets passed as environment variables, p3 ,Compliance
ECS,ECS task definitions should have logging enabled, p1 ,Compliance
ECS,ECS task definitions should not share the host's process namespace, p3 ,Compliance
ECS,ECS task definitions should not use root user., p1 ,Compliance
EFS,EFS access points should enforce a root directory, p3 ,Compliance
EFS,EFS access points should enforce a user identity, p3 ,Compliance
EFS,EFS file system encryption at rest should be enabled, p1 ,Compliance
EFS,EFS file systems should be encrypted with CMK, p3 ,Compliance
EFS,EFS file systems should be in a backup plan, p1 ,Compliance
EFS,EFS file systems should be protected by backup plan, p3 ,Compliance
EFS,EFS file systems should enforce SSL, p1 ,Compliance
EFS,EFS file systems should restrict public access, p1 ,Compliance
EKS,EKS clusters endpoint public access should be restricted, p1 ,Compliance
EKS,EKS clusters endpoint should restrict public access, p3 ,Compliance
EKS,EKS clusters should be configured to have kubernetes secrets encrypted using KMS, p1 ,Compliance
EKS,EKS clusters should have control plane audit logging enabled, p1 ,Compliance
EKS,EKS clusters should not be configured within a default VPC, p1 ,Compliance
EKS,EKS clusters should not use multiple security groups, p2 ,Compliance
EKS,EKS clusters should run on a supported Kubernetes version, p1 ,Compliance
ElastiCache,ElastiCache clusters should not use public_subnet, p1 ,Compliance
ElastiCache,ElastiCache clusters should not use the default subnet group, p3 ,Compliance
ElastiCache,ElastiCache for Redis replication groups before version 6.0 should use Redis Auth, p3 ,Compliance
ElastiCache,ElastiCache for Redis replication groups should be encrypted at rest, p1 ,Compliance
ElastiCache,ElastiCache for Redis replication groups should be encrypted in transit, p1 ,Compliance
ElastiCache,ElastiCache for Redis replication groups should be encrypted with CMK, p3 ,Compliance
ElastiCache,ElastiCache for Redis replication groups should have automatic failover enabled, p1 ,Compliance
ElastiCache,ElastiCache Redis cluster automatic backup should be enabled with retention period of 15 days or greater, p1 ,Compliance
ElastiCache,Elastic Beanstalk, p3 ,Compliance
ElastiCache,Elastic Beanstalk enhanced health reporting should be enabled, p1 ,Compliance
ElastiCache,Elastic Beanstalk environment should have managed updates enabled, p1 ,Compliance
ElastiCache,Elastic Beanstalk should stream logs to CloudWatch, p1 ,Compliance
ElastiCache,Minor version upgrades should be automatically applied to ElastiCache for Redis cache clusters, p3 ,Compliance
Elasticsearch,Connections to Elasticsearch domains should be encrypted using TLS 1.2, p1 ,Compliance
Elasticsearch,Elasticsearch domain error logging to CloudWatch Logs should be enabled, p1 ,Compliance
Elasticsearch,Elasticsearch domain node-to-node encryption should be enabled, p1 ,Compliance
Elasticsearch,Elasticsearch domain should send logs to CloudWatch, p3 ,Compliance
Elasticsearch,Elasticsearch domains should be configured with at least three dedicated master nodes, p3 ,Compliance
Elasticsearch,Elasticsearch domains should have at least three data nodes, p3 ,Compliance
Elasticsearch,Elasticsearch domains should have audit logging enabled, p1 ,Compliance
Elasticsearch,Elasticsearch domains should have cognito authentication enabled, p2 ,Compliance
Elasticsearch,Elasticsearch domains should have internal user database enabled, p2 ,Compliance
Elasticsearch,ES domain encryption at rest should be enabled, p1 ,Compliance
Elasticsearch,ES domains should be in a VPC, p1 ,Compliance
ELB,Classic Load Balancers should have connection draining enabled, p3 ,Compliance
ELB,ELB application and classic load balancer logging should be enabled, p1 ,Compliance
ELB,ELB application and network load balancers should only use SSL or HTTPS listeners, p3 ,Compliance
ELB,ELB application and network load balancers should use listeners, p3 ,Compliance
ELB,ELB application load balancer deletion protection should be enabled, p1 ,Compliance
ELB,ELB application load balancers secured listener certificate should not expire within next 30 days, p3 ,Compliance
ELB,ELB application load balancers secured listener certificate should not expire within next 7 days, p3 ,Compliance
ELB,ELB application load balancers should be configured with defensive or strictest desync mitigation mode, p3 ,Compliance
ELB,ELB application load balancers should be drop HTTP headers, p3 ,Compliance
ELB,ELB application load balancers should have at least one outbound rule, p3 ,Compliance
ELB,ELB application load balancers should have Web Application Firewall (WAF) enabled, p3 ,Compliance
ELB,ELB application load balancers should redirect HTTP requests to HTTPS, p1 ,Compliance
ELB,ELB classic load balancers should be configured with defensive or strictest desync mitigation mode, p3 ,Compliance
ELB,ELB classic load balancers should have at least one inbound rule, p3 ,Compliance
ELB,ELB classic load balancers should have at least one outbound rule, p3 ,Compliance
ELB,ELB classic load balancers should have at least one registered instance, p3 ,Compliance
ELB,ELB classic load balancers should have cross-zone load balancing enabled, p3 ,Compliance
ELB,ELB classic load balancers should only use SSL or HTTPS listeners, p1 ,Compliance
ELB,ELB classic load balancers should span multiple availability zones, p3 ,Compliance
ELB,ELB classic load balancers should use SSL certificates, p3 ,Compliance
ELB,ELB listeners should use secure SSL cipher, p1 ,Compliance
ELB,ELB listeners SSL/TLS protocol version should be checked, p3 ,Compliance
ELB,ELB load balancers should prohibit public access, p1
ELB,ELB network load balancers should have TLS listener security policy configured, p2
EMR,EMR cluster Kerberos should be enabled, p3 ,Compliance
EMR,EMR cluster local disks should be encrypted with CMK, p1 ,Compliance
EMR,EMR cluster master nodes should not have public IP addresses, p1 ,Compliance
EMR,EMR clusters client side encryption (CSE CMK) enabled with CMK, p3 ,Compliance
EMR,EMR clusters encryption at rest should be enabled, p1 ,Compliance
EMR,EMR clusters encryption in transit should be enabled, p3 ,Compliance
EMR,EMR clusters local disk encryption should be enabled, p3 ,Compliance
EMR,EMR clusters server side encryption (SSE KMS) enabled with KMS, p3 ,Compliance
EMR,EMR clusters should have security configuration enabled, p1 ,Compliance
EMR,EMR public access should be blocked at account level, p1 ,Compliance
EventBridge,EventBridge custom event buses should have a resource-based policy attached, p3 ,Compliance
FSx,FSx file system should be protected by backup plan, p1 ,Compliance
FSx,FSx for OpenZFS file systems should be configured to copy tags to backups and volumes, p1 ,Compliance
Glacier,Glacier vault should restrict public access, p1 ,Compliance
Glue,Glue connection SSL should be enabled, p1 ,Compliance
Glue,Glue data catalog connection password encryption should be enabled, p1 ,Compliance
Glue,Glue data catalog metadata encryption should be enabled, p1 ,Compliance
Glue,Glue dev endpoints CloudWatch logs encryption should be enabled, p1 ,Compliance
Glue,Glue dev endpoints job bookmark encryption should be enabled, p1 ,Compliance
Glue,Glue dev endpoints S3 encryption should be enabled, p1 ,Compliance
Glue,Glue jobs bookmarks encryption should be enabled, p1 ,Compliance
Glue,Glue jobs CloudWatch logs encryption should be enabled, p1 ,Compliance
Glue,Glue jobs S3 encryption should be enabled, p1 ,Compliance
GuardDuty,GuardDuty Detector should be centrally configured, p1 ,Compliance
GuardDuty,GuardDuty Detector should not have high severity findings, p1 ,Compliance
GuardDuty,GuardDuty findings should be archived, p1 ,Compliance
GuardDuty,GuardDuty should be enabled, p1 ,Compliance
IAM,Eliminate use of the 'root' user for administrative and daily tasks, p1 ,Compliance
IAM,Ensure access to AWSCloudShellFullAccess is restricted, p2 ,Compliance
IAM,Ensure a support role has been created to manage incidents with AWS Support, p2 ,Compliance
IAM,Ensure credentials unused for 45 days or greater are disabled, p1 ,Compliance
IAM,Ensure IAM password policy expires passwords within 90 days or less, p1 ,Compliance
IAM,Ensure IAM password policy prevents password reuse, p2 ,Compliance
IAM,Ensure IAM password policy requires a minimum length of 14 or greater, p1 ,Compliance
IAM,Ensure IAM password policy requires at least one lowercase letter, p1 ,Compliance
IAM,Ensure IAM password policy requires at least one number, p1 ,Compliance
IAM,Ensure IAM password policy requires at least one symbol, p1 ,Compliance
IAM,Ensure IAM password policy requires at least one uppercase letter, p1 ,Compliance
IAM,Ensure IAM policies are attached only to groups or roles, p1 ,Compliance
IAM,"Ensure IAM policies that allow full ""*:*"" administrative privileges are not attached", p1 ,Compliance
IAM,Ensure IAM policy should not grant full access to service, p3 ,Compliance
IAM,Ensure IAM role not attached with Administratoraccess policy, p3 ,Compliance
IAM,Ensure IAM users are assigned access keys and passwords at setup, p3 ,Compliance
IAM,Ensure IAM users with access keys unused for 45 days or greater are disabled, p1 ,Compliance
IAM,Ensure IAM users with console access unused for 45 days or greater are disabled, p1 ,Compliance
IAM,Ensure managed IAM policies should not allow blocked actions on KMS keys, p3 ,Compliance
IAM,Ensure that all the expired SSL/TLS certificates stored in AWS IAM are removed, p3 ,Compliance
IAM,Ensure that IAM Access analyzer is enabled for all regions, p2 ,Compliance
IAM,Ensure there is only one active access key available for any single IAM user, p3 ,Compliance
IAM,IAM Access analyzer should be enabled without findings, p2 ,Compliance
IAM,IAM administrator users should have MFA enabled, p1 ,Compliance
IAM,IAM AWS managed policies should be attached to IAM role, p2 ,Compliance
IAM,IAM custom policy should not have overly permissive STS role assumption, p3 ,Compliance
IAM,IAM groups should have at least one user, p1 ,Compliance
IAM,IAM inline policy should not have administrative privileges, p2 ,Compliance
IAM,IAM password policies for users should have strong configurations, p2 ,Compliance
IAM,IAM policies should not allow full '*' administrative privileges, p2 ,Compliance
IAM,IAM policy should be in use, p2 ,Compliance
IAM,IAM policy should not grant full access to cloudtrail service, p2 ,Compliance
IAM,IAM policy should not grant full access to KMS service, p2 ,Compliance
IAM,IAM policy should not have statements with admin access, p2 ,Compliance
IAM,IAM roles should not have any assume role policies attached, p2 ,Compliance
IAM,IAM roles should not have read only access for external AWS accounts, p2 ,Compliance
IAM,IAM roles that have not been used in 60 days should be removed, p3 ,Compliance
IAM,IAM root user hardware MFA should be enabled, p1 ,Compliance
IAM,IAM root user MFA should be enabled, p2 ,Compliance
IAM,IAM root user should not have access keys, p3 ,Compliance
IAM,IAM Security Audit role should be created to conduct security audits, p2 ,Compliance
IAM,IAM unattached custom policy should not have statements with admin access, p3 ,Compliance
IAM,IAM user access keys should be rotated at least every 90 days, p1 ,Compliance
IAM,IAM user credentials that have not been used in 90 days should be disabled, p1 ,Compliance
IAM,IAM user MFA should be enabled, p1 ,Compliance
IAM,IAM user should not have any inline or attached policies, p2 ,Compliance
IAM,IAM users should be in at least one group, p2 ,Compliance
IAM,IAM users should have hardware MFA enabled, p1 ,Compliance
IAM,IAM users with console access should have MFA enabled, p1 ,Compliance
IAM,Password policies for IAM users should have strong configurations with minimum length of 8 or greater, p1 ,Compliance
Kinesis,Kinesis firehose delivery streams should have server side encryption enabled, p1 ,Compliance
Kinesis,Kinesis streams should be encrypted with CMK, p1 ,Compliance
Kinesis,Kinesis streams should have server side encryption enabled, p1 ,Compliance
KMS,KMS CMK policies should prohibit public access, p1 ,Compliance
KMS,KMS CMK rotation should be enabled, p1 ,Compliance
KMS,KMS key decryption should be restricted in IAM customer managed policy, p1 ,Compliance
KMS,KMS key decryption should be restricted in IAM inline policy, p1 ,Compliance
KMS,KMS key should be in use, p3 ,Compliance
KMS,KMS keys should not be pending deletion, p1 ,Compliance
Lambda,Ensure Cloudwatch Lambda insights is enabled, p1 ,Compliance
Lambda,Ensure encryption in transit is enabled for Lambda environment variables, p1 ,Compliance
Lambda,Lambda functions CloudTrail logging should be enabled, p1 ,Compliance
Lambda,Lambda functions concurrent execution limit configured, p3 ,Compliance
Lambda,Lambda functions CORS configuration should not allow all origins, p3 ,Compliance
Lambda,Lambda functions should be configured with a dead-letter queue, p1 ,Compliance
Lambda,Lambda functions should be in a VPC, p1 ,Compliance
Lambda,Lambda functions should operate in more than one availability zone, p3 ,Compliance
Lambda,Lambda functions should restrict public access, p3 ,Compliance
Lambda,Lambda functions should restrict public URL, p3 ,Compliance
Lambda,Lambda functions should use latest runtimes, p3 ,Compliance
Lambda,Lambda functions tracing should be enabled, p1 ,Compliance
Lambda,Lambda functions variable should not have any sensitive data, p1 ,Compliance
Lightsail,Disable IPv6 Networking if not in use within your organization, p3 ,Compliance
Lightsail,Disable SSH and RDP ports for Lightsail instances when not needed, p1 ,Compliance
Lightsail,Ensure RDP is restricted to only IP address that should have this access, p1 ,Compliance
Lightsail,Ensure SSH is restricted to only IP address that should have this access, p1 ,Compliance
MQ,MQ brokers should restrict public access, p1 ,Compliance
MSK,MSK clusters should be encrypted in transit among broker nodes, p1 ,Compliance
Neptune,Neptune DB cluster snapshots should be encrypted at rest, p1 ,Compliance
Neptune,Neptune DB cluster snapshots should not be public, p3 ,Compliance
Neptune,Neptune DB clusters should be configured to copy tags to snapshots, p3 ,Compliance
Neptune,Neptune DB clusters should be encrypted at rest, p1 ,Compliance
Neptune,Neptune DB clusters should have automated backups enabled, p1 ,Compliance
Neptune,Neptune DB clusters should have deletion protection enabled, p2 ,Compliance
Neptune,Neptune DB clusters should have IAM database authentication enabled, p1 ,Compliance
Neptune,Neptune DB clusters should not use public_subnet, p3 ,Compliance
Neptune,Neptune DB clusters should publish audit logs to CloudWatch Logs, p1 ,Compliance
Network Firewall,Networkfirewall firewall should be in a VPC, p3 ,Compliance
Network Firewall,Network Firewall firewalls should have deletion protection enabled, p2 ,Compliance
Network Firewall,Network Firewall logging should be enabled, p1 ,Compliance
