category,control,priority
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points should be encrypted,p1
Backup,Backup recovery points manual deletion should be disabled,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup recovery points should not expire before retention period,p3
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup report plan should exist in a region where backup plan is enabled,p2
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
Backup,Backup vaults should exist in a region,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks differ from the expected configuration,p3
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks should have notifications enabled,p2
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks outputs should not have any secrets,p1
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,CloudFormation stacks should have rollback enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudFormation,Cloudformation stacks termination protection should be enabled,p2
CloudTrail,CloudTrail trails should be enabled in all regions,p2
CloudTrail,At least one multi-region AWS CloudTrail should be present in an account,p3
CloudTrail,CloudTrail multi region trails should be integrated with CloudWatch logs,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,p3
